price,area,locality,property_type,bedroom_num,latitude,longitude
2.0,1300,Koper Khairane,Apartment,3,19.09330177,73.01537323
1.85,1150,Vashi,Apartment,2,19.06424141,73.00158691
1.2,650,Mulund,Apartment,1,19.16368484,72.95683289
0.93,950,Mira Road,Apartment,2,19.28604317,72.87023163
0.92,1050,Mira Road,Apartment,2,19.28087616,72.87459564
1.6,1400,Thane,Apartment,3,19.21686745,72.9930954
3.28,1040,Kandivali,Apartment,3,19.20620918,72.87017822
1.2,1100,Kharghar,Apartment,2,19.07083893,73.07873535
0.62,650,Kharghar,Apartment,1,19.04265976,73.06473541
1.13,1200,Mira Road,Apartment,2,19.28684807,72.87327576
0.5,895,Vasai,Apartment,2,19.38308907,72.87561798
0.76,710,Mira Road,Apartment,1,19.29859543,72.87253571
0.43,945,Andheri,Apartment,2,19.19995499,73.1866684
5.7,2022,Chembur,Apartment,4,19.05871391,72.90290833
2.3,965,Kandivali,Apartment,2,19.21030617,72.86837769
5.1,1564,Kandivali,Apartment,4,19.21030617,72.86837769
3.4,1100,Borivali,Apartment,3,19.23183441,72.84420776
4.4,1545,Kandivali,Apartment,4,19.20649529,72.87693787
1.95,950,Borivali,Apartment,2,19.22984314,72.8420639
3.5,1250,Borivali,Apartment,3,19.22982216,72.84204102
0.87,1000,Thane,Apartment,1,19.25841713,72.98527527
0.75,875,Bhayandar,Apartment,2,19.30128479,72.84638977
1.92,1000,Thane,Apartment,2,19.2564106,72.99015045
0.67,750,Mira Road,Apartment,1,19.27293587,72.88097382
8.93,2982,Chembur,Apartment,4,19.04581451,72.89766693
0.9,1120,Kharghar,Apartment,2,19.0358963,73.07273102
0.46,900,Ambernath,Apartment,2,19.20701027,73.18536377
0.46,900,Ambernath,Apartment,2,19.20713806,73.18493652
3.8,1260,Andheri,Apartment,3,19.11686325,72.86997986
1.5,1150,Koper Khairane,Apartment,2,19.09801865,72.99897003
0.97,625,Kandivali,Apartment,1,19.21387863,72.83223724
0.34,605,Vasai,Apartment,1,19.39484024,72.84843445
3.0,1000,Andheri,Apartment,2,19.13910484,72.80826569
2.18,950,Jogeshwari,Apartment,2,19.12825966,72.84303284
0.37,890,Badlapur,Apartment,1,19.16975784,73.22491455
0.26,638,Badlapur,Apartment,1,19.15452957,73.23560333
0.38,605,Vasai,Apartment,1,19.39545822,72.84721375
0.55,790,Vasai,Apartment,2,19.39545631,72.84721375
0.82,900,Thane,Apartment,2,19.28334618,72.95620728
0.87,424,Malad,Apartment,1,19.20244408,72.82131958
0.45,650,Dombivali,Apartment,1,19.22516441,73.0796814
0.74,680,Kalwa,Apartment,1,19.20948792,73.01093292
1.99,1800,Kharghar,Apartment,3,19.03493881,73.07228088
1.29,1150,Kharghar,Apartment,2,19.0709343,73.07907867
1.85,1200,Borivali,Apartment,3,19.25018883,72.84818268
0.61,970,Virar,Apartment,2,19.45896912,72.79956818
0.98,460,Ghatkopar,Apartment,1,19.09097862,72.91364288
1.62,800,Ghatkopar,Apartment,2,19.0890255,72.91495514
1.6,700,Ghatkopar,Apartment,2,19.08760643,72.91466522
3.51,859,Dadar,Apartment,3,19.01498032,72.83869934
0.28,540,Virar,Apartment,1,19.46921349,72.79705811
0.73,675,Kalyan,Apartment,1,19.24263382,73.13677979
0.33,630,Kalyan,Apartment,1,19.2446003,73.12349701
1.0,1345,Thakurli,Apartment,3,19.22567177,73.10028076
0.66,685,Dombivali,Apartment,1,19.22491646,73.10826111
0.94,980,Kalyan,Apartment,2,19.22584534,73.09985352
0.7,670,Vashi,Apartment,1,19.06760406,72.98732758
0.48,675,Dombivali,Apartment,1,19.20101738,73.09404755
0.8,840,Dombivali,Apartment,2,19.20101738,73.09404755
0.47,595,Dombivli,Apartment,1,19.22516441,73.0796814
0.5,645,Dombivali,Apartment,1,19.20101738,73.09404755
0.45,585,Dombivli,Apartment,1,19.22516441,73.0796814
